Mass,Relative%,Description
149.081297,0.02%,"decarboxylation coupling (R-R') product of glyoxylic acid and phenylalanine(self), with the error of 0.0017. decarboxylation coupling (R-R') product of 4-aminobenzoic acid and alpha-ketobutyric acid(self), with the error of 0.0027.decarboxylation coupling (R-R') product of 3-hydroxypropionic acid and itaconic acid(add H3O+), with the error of 0.0047."
118.092669,0.01%,"decarboxylation coupling (R-R') product of glyoxylic acid and proline(add H3O+), with the error of 0.0027. adduct of acetaldehyde with Cl radical(add K+), with the error of 0.0003.decarboxylation coupling (R-R') product of glycine and asparagine(add H+), with the error of 0.0043."
107.085818,0.09%,"decarboxylation coupling (R-R') product of glyoxylic acid and serine(add NH4+); decarboxylation coupling (R-R') product of glycine and malonic acid(add NH4+), with the error of 0.0038. decarboxylation product of asparagine(add H3O+), with the error of 0.0002."
126.055381,0.74%,"decarboxylation coupling (R-R') product of glyoxylic acid and threonine(add Na+), with the error of 0.0034. decarboxylation coupling (R-R') product of pyruvic acid and serine(add Na+), with the error of 0.0024.adduct of 3-hydroxypropionic acid with OH radical(add H3O+), with the error of 0.0026."
121.101486,0.09%,"decarboxylation coupling (R-R') product of glyoxylic acid and threonine(add NH4+), with the error of 0.0045. decarboxylation coupling (R-R') product of serine and serine(add H+); decarboxylation coupling (R-R') product of pyruvic acid and serine(add NH4+), with the error of 0.0035.reductive amination product of urea and acetone(add H3O+); decarboxylation product of glutamine(add H3O+), with the error of 0.0005."
103.058604,0.02%,"decarboxylation coupling (R-R') product of glyoxylic acid and threonine(self), with the error of 0.0034. decarboxylation coupling (R-R') product of pyruvic acid and serine(self), with the error of 0.0044."
188.098551,0.03%,"decarboxylation coupling (R-R') product of glyoxylic acid and tryptophan(self), with the error of 0.0046. decarboxylation coupling (R-R') product of n-acetyl cysteine and proline(self); dopamine add 1 oxygen(add H3O+), with the error of 0.0016."
221.154415,0.03%,"decarboxylation coupling (R-R') product of histidine and histidine(add H+), with the error of 0.0044. decarboxylation C-N coupling product of histidine and histamine(add H+); reductive amination product of valine and alpha-ketobutyric acid(add NH4+); reductive amination product of leucine and pyruvic acid(add NH4+); decarboxylation C-N coupling product of leucine and adenine(add H+), with the error of 0.0034.decarboxylation coupling (R-R') product of glutamine and phenylalanine(self), with the error of 0.0024.decarboxylation coupling (RCOOR') product of hydroxyproline and valine(add H3O+); decarboxylation C-N coupling product of hydroxyproline and valine(add H3O+), with the error of 0.0004.decarboxylation coupling (R-R') product of lysine and alpha-ketoglutaric acid(add H3O+); decarboxylation coupling (RCOOR') product of lysine and alpha-ketobutyric acid(add H3O+); decarboxylation C-N coupling product of alpha-ketobutyric acid and lysine(add H3O+), with the error of 0.0006."
220.146972,0.02%,"decarboxylation coupling (R-R') product of histidine and histidine(self), with the error of 0.005. decarboxylation C-N coupling product of leucine and adenine(self); decarboxylation C-N coupling product of histidine and histamine(self), with the error of 0.004.decarboxylation coupling (R-R') product of serine and tryptophan(add H+); adduct of guanine with NO radical(add K+); decarboxylation coupling (R-R') product of pyruvic acid and tryptophan(add NH4+), with the error of 0.002.decarboxylation C-N coupling product of fumaric acid and cytosine(add K+), with the error of 0.001.decarboxylation coupling (R-R') product of lysine and n-acetyl cysteine(add H+), with the error of 0.001."
187.123458,0.01%,"decarboxylation coupling (R-R') product of histidine and malonic acid(add NH4+), with the error of 0.0045. decarboxylation C-N coupling product of malonic acid and histamine(add NH4+), with the error of 0.0035.decarboxylation coupling (R-R') product of 4-aminobenzoic acid and valine(add Na+); decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and leucine(self); decarboxylation C-N coupling product of alpha-ketobutyric acid and leucine(self); decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and leucine(self), with the error of 0.0025.adduct of dopamine with CH3 radical(add H3O+), with the error of 0.0025."
397.171108,0.01%,"decarboxylation coupling (R-R') product of histidine and n-acetyl neuraminic acid(add Na+), with the error of 0.0021. decarboxylation C-N coupling product of n-acetyl neuraminic acid and histamine(add Na+), with the error of 0.0011."
285.242817,0.02%,"decarboxylation coupling (R-R') product of histidine and tyrosine(add K+); decarboxylation coupling (R-R') product of asparagine and tryptophan(add K+), with the error of 0.0022. decarboxylation C-N coupling product of tyrosine and histamine(add K+), with the error of 0.0032."
163.10986,0.15%,"decarboxylation coupling (R-R') product of hydroxyproline and malonic acid(add NH4+); decarboxylation C-N coupling product of glyoxylic acid and valine(add NH4+); decarboxylation coupling (RCOOR') product of glyoxylic acid and valine(add NH4+); decarboxylation coupling (R-R') product of fumaric acid and threonine(add NH4+), with the error of 0.0019. adduct of lysine with OH radical(self); decarboxylation coupling (R-R') product of itaconic acid and serine(add NH4+); adduct of ornithine with CH3O radical(self), with the error of 0.0009.decarboxylation coupling (R-R') product of alpha-ketobutyric acid and asparagine(add H3O+); decarboxylation coupling (R-R') product of pyruvic acid and glutamine(add H3O+); decarboxylation coupling (RCOOR') product of glycine and proline(add H3O+); decarboxylation C-N coupling product of proline and glycine(add H3O+), with the error of 0.0021.decarboxylation coupling (R-R') product of ornithine and cysteine(self), with the error of 0.0041."
245.153723,0.02%,"decarboxylation coupling (R-R') product of hydroxyproline and tryptophan(self); decarboxylation C-N coupling product of proline and serotonin(self), with the error of 0.0017. decarboxylation C-N coupling product of threonine and dopamine(add H3O+), with the error of 0.0003."
213.146562,0.20%,"decarboxylation coupling (R-R') product of itaconic acid and malic acid(add K+); decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and itaconic acid(add K+), with the error of 0.0044. "
190.086878,2.50%,"decarboxylation coupling (R-R') product of itaconic acid and methionine(add H+), with the error of 0.0031. "
242.162411,0.01%,"decarboxylation coupling (R-R') product of itaconic acid and n-acetyl cysteine(add K+), with the error of 0.0034. decarboxylation C-N coupling product of ornithine and histidine(add H+); decarboxylation coupling (RCOOR') product of histidine and proline(add NH4+); decarboxylation C-N coupling product of histidine and ornithine(add H+); decarboxylation C-N coupling product of proline and histidine(add NH4+); decarboxylation coupling (RCOOR') product of ornithine and histidine(add H+), with the error of 0.0014."
267.11368,0.10%,"decarboxylation coupling (R-R') product of itaconic acid and tryptophan(add Na+); decarboxylation C-N coupling product of 4-aminobenzoic acid and dopamine(add Na+); reductive amination product of tyrosine and alpha-ketobutyric acid(self), with the error of 0.0027. decarboxylation coupling (RCOOR') product of asparagine and n-acetyl cysteine(add NH4+); decarboxylation C-N coupling product of n-acetyl cysteine and asparagine(add NH4+), with the error of 0.0017."
163.144621,0.06%,"decarboxylation coupling (R-R') product of leucine and malonic acid(add NH4+), with the error of 0.0004. decarboxylation coupling (R-R') product of proline and threonine(add H3O+), with the error of 0.0034.decarboxylation coupling (R-R') product of lysine and pyruvic acid(add H3O+); decarboxylation coupling (R-R') product of ornithine and alpha-ketobutyric acid(add H3O+), with the error of 0.0044."
350.207793,0.02%,"decarboxylation coupling (R-R') product of leucine and n-acetyl neuraminic acid(self), with the error of 0.0028. "
174.197139,0.04%,"decarboxylation coupling (R-R') product of leucine and proline(add NH4+); decarboxylation coupling (R-R') product of lysine and 4-pentenoic acid(add NH4+); decarboxylation coupling (R-R') product of ornithine and leucine(add H+); decarboxylation coupling (R-R') product of lysine and valine(add H+), with the error of 0.0001. "
157.170453,0.01%,"decarboxylation coupling (R-R') product of lysine and 4-pentenoic acid(add H+); decarboxylation coupling (R-R') product of leucine and proline(add H+), with the error of 0.0005. "
203.187346,0.05%,"decarboxylation coupling (R-R') product of lysine and glutamine(add H+), with the error of 0.0003. decarboxylation coupling (R-R') product of arginine and 4-pentenoic acid(add H3O+), with the error of 0.0037."
203.183629,1.18%,"decarboxylation coupling (R-R') product of lysine and glutamine(add H+), with the error of 0.0034. "
202.180058,9.45%,"decarboxylation coupling (R-R') product of lysine and glutamine(self), with the error of 0.0011. decarboxylation coupling (R-R') product of 6-hydroxyoctanoic acid and hydroxyproline(add H+), with the error of 0.0001.decarboxylation coupling (R-R') product of malic acid and threonine(add K+); decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and threonine(add K+); decarboxylation C-N coupling product of 3-hydroxypropionic acid and threonine(add K+), with the error of 0.0019."
258.242964,0.00%,"decarboxylation coupling (R-R') product of lysine and n-acetyl cysteine(add K+), with the error of 0.005. decarboxylation coupling (RCOOR') product of 6-hydroxyoctanoic acid and serine(add K+); decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and serine(add K+), with the error of 0.002."
171.026823,0.21%,"decarboxylation coupling (R-R') product of malic acid and malonic acid(add Na+); decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and malonic acid(add Na+), with the error of 0.0002. itaconic acid add H2O(add Na+); alpha-ketoglutaric acid reductive hydrogenation product(add Na+), with the error of 0.0012.adduct of adenine with Cl radical(add H+), with the error of 0.0042."
182.081556,2.35%,"decarboxylation coupling (R-R') product of malic acid and proline(add Na+); decarboxylation C-N coupling product of glyoxylic acid and leucine(add Na+); decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and proline(add Na+); decarboxylation coupling (RCOOR') product of pyruvic acid and valine(add Na+); decarboxylation coupling (RCOOR') product of glyoxylic acid and leucine(add Na+); decarboxylation C-N coupling product of 4-pentenoic acid and serine(add Na+); decarboxylation C-N coupling product of pyruvic acid and valine(add Na+); decarboxylation coupling (R-R') product of itaconic acid and threonine(add Na+); decarboxylation coupling (R-R') product of oxaloacetic acid and valine(add Na+); decarboxylation coupling (RCOOR') product of 4-pentenoic acid and serine(add Na+), with the error of 0.0026. adduct of ribose with CH3O radical(add H+), with the error of 0.0016.decarboxylation C-N coupling product of glyoxylic acid and dopamine(add H+), with the error of 0.0006.decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and 3-hydroxypropionic acid(add H+); tyrosine(add H+); decarboxylation coupling (R-R') product of 4-aminobenzoic acid and malic acid(add H+); decarboxylation C-N coupling product of 3-hydroxypropionic acid and 4-aminobenzoic acid(add H+); adduct of phenylalanine with OH radical(self), with the error of 0.0004.glucosamine de-NH2 product(add H3O+); galactosamine de-NH2 product(add H3O+); adduct of lysine with Cl radical(add H+), with the error of 0.0014.decarboxylation coupling (R-R') product of 4-aminobenzoic acid and fumaric acid(add H3O+), with the error of 0.0044."
167.106984,0.05%,"decarboxylation coupling (R-R') product of malic acid and serine(add NH4+); decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and serine(add NH4+); decarboxylation C-N coupling product of 3-hydroxypropionic acid and serine(add NH4+); decarboxylation coupling (R-R') product of glyoxylic acid and 6-hydroxyoctanoic acid(add Na+), with the error of 0.003. decarboxylation coupling (R-R') product of alpha-ketobutyric acid and histidine(self), with the error of 0.002.decarboxylation C-N coupling product of alpha-ketobutyric acid and histamine(self), with the error of 0.001.decarboxylation C-N coupling product of glycine and threonine(add H3O+); decarboxylation coupling (RCOOR') product of glycine and threonine(add H3O+); decarboxylation C-N coupling product of threonine and glycine(add H3O+), with the error of 0.0."
202.186822,0.24%,"decarboxylation coupling (R-R') product of malic acid and threonine(add K+); decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and threonine(add K+); decarboxylation C-N coupling product of 3-hydroxypropionic acid and threonine(add K+), with the error of 0.0048. "
200.201152,11.35%,"decarboxylation coupling (R-R') product of malic acid and valine(add K+); decarboxylation C-N coupling product of 3-hydroxypropionic acid and valine(add K+); decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and valine(add K+); carnitine(add K+); reductive amination product of threonine and acetone(add K+), with the error of 0.0018. "
200.204788,0.75%,"decarboxylation coupling (R-R') product of malic acid and valine(add K+); decarboxylation C-N coupling product of 3-hydroxypropionic acid and valine(add K+); decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and valine(add K+); carnitine(add K+); reductive amination product of threonine and acetone(add K+), with the error of 0.0018. "
200.207212,0.31%,"decarboxylation coupling (R-R') product of malic acid and valine(add K+); decarboxylation C-N coupling product of 3-hydroxypropionic acid and valine(add K+); decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and valine(add K+); carnitine(add K+); reductive amination product of threonine and acetone(add K+), with the error of 0.0042. decarboxylation C-N coupling product of 4-pentenoic acid and spermidine(add H+), with the error of 0.0048."
119.034029,0.01%,"decarboxylation coupling (R-R') product of malonic acid and malonic acid(add H+); decarboxylation coupling (R-R') product of glyoxylic acid and malic acid(add H+); decarboxylation coupling (RCOOR') product of glyoxylic acid and 3-hydroxypropionic acid(add H+), with the error of 0.0. adduct of alpha-ketobutyric acid with OH radical(self); adenine de-NH2 product(self); adduct of malonic acid with CH3 radical(self); adduct of pyruvic acid with CH3O radical(self), with the error of 0.001.decarboxylation coupling (R-R') product of glyoxylic acid and fumaric acid(add H3O+), with the error of 0.004."
119.035695,0.03%,"decarboxylation coupling (R-R') product of malonic acid and malonic acid(add H+); decarboxylation coupling (R-R') product of glyoxylic acid and malic acid(add H+); decarboxylation coupling (RCOOR') product of glyoxylic acid and 3-hydroxypropionic acid(add H+), with the error of 0.0017. adduct of alpha-ketobutyric acid with OH radical(self); adenine de-NH2 product(self); adduct of malonic acid with CH3 radical(self); adduct of pyruvic acid with CH3O radical(self), with the error of 0.0007.decarboxylation coupling (R-R') product of glyoxylic acid and fumaric acid(add H3O+), with the error of 0.0023.decarboxylation product of n-acetyl cysteine(self); decarboxylation coupling (R-R') product of pyruvic acid and cysteine(self), with the error of 0.0043."
141.016349,0.07%,"decarboxylation coupling (R-R') product of malonic acid and malonic acid(add Na+); decarboxylation coupling (RCOOR') product of glyoxylic acid and 3-hydroxypropionic acid(add Na+); decarboxylation coupling (R-R') product of glyoxylic acid and malic acid(add Na+), with the error of 0.0003. o-phosphorylethanolamine(self), with the error of 0.0027.adduct of pyruvic acid with Cl radical(add NH4+); adduct of serine with Cl radical(add H+), with the error of 0.0037."
141.018857,0.01%,"decarboxylation coupling (R-R') product of malonic acid and malonic acid(add Na+); decarboxylation coupling (RCOOR') product of glyoxylic acid and 3-hydroxypropionic acid(add Na+); decarboxylation coupling (R-R') product of glyoxylic acid and malic acid(add Na+), with the error of 0.0029. o-phosphorylethanolamine(self), with the error of 0.0001.adduct of pyruvic acid with Cl radical(add NH4+); adduct of serine with Cl radical(add H+), with the error of 0.0011."
136.062057,31.14%,"decarboxylation coupling (R-R') product of malonic acid and malonic acid(add NH4+); decarboxylation coupling (RCOOR') product of glyoxylic acid and 3-hydroxypropionic acid(add NH4+); decarboxylation coupling (R-R') product of glyoxylic acid and malic acid(add NH4+); adduct of threonine with OH radical(self), with the error of 0.0011. adenine(add H+); adduct of serine with CH3O radical(self), with the error of 0.0001.decarboxylation C-N coupling product of pyruvic acid and glycine(add H3O+); decarboxylation coupling (RCOOR') product of glycine and pyruvic acid(add H3O+); decarboxylation coupling (R-R') product of glycine and oxaloacetic acid(add H3O+), with the error of 0.0029.decarboxylation coupling (R-R') product of cysteine and serine(self), with the error of 0.0049."
182.091542,0.02%,"decarboxylation coupling (R-R') product of malonic acid and methionine(add H3O+); decarboxylation coupling (R-R') product of 3-hydroxypropionic acid and n-acetyl cysteine(add H3O+), with the error of 0.0025. reductive amination product of cysteine and acetone(add H3O+), with the error of 0.0015.decarboxylation coupling (R-R') product of fumaric acid and histidine(add H+); 6-hydroxyoctanoic acid -H +2Na product(self), with the error of 0.0005.decarboxylation C-N coupling product of fumaric acid and histamine(add H+), with the error of 0.0015.adduct of glutamine with OH radical(add H3O+); adduct of asparagine with CH3O radical(add H3O+), with the error of 0.0035."
151.112032,0.13%,"decarboxylation coupling (R-R') product of malonic acid and threonine(add NH4+), with the error of 0.004. decarboxylation coupling (R-R') product of 3-hydroxypropionic acid and asparagine(add H3O+), with the error of 0.0.ornithine(add H3O+), with the error of 0.001."
133.069264,0.96%,"decarboxylation coupling (R-R') product of malonic acid and threonine(self), with the error of 0.0037. adduct of proline with OH radical(add H+), with the error of 0.0047."
219.11795,0.01%,"decarboxylation coupling (R-R') product of malonic acid and tryptophan(add H+); decarboxylation C-N coupling product of pyruvic acid and serotonin(add H+), with the error of 0.005. adduct of tryptophan with CH3 radical(self), with the error of 0.004.decarboxylation C-N coupling product of proline and methionine(add H+); decarboxylation coupling (RCOOR') product of methionine and proline(add H+), with the error of 0.0019.decarboxylation coupling (R-R') product of histidine and hydroxyproline(add Na+); decarboxylation C-N coupling product of glutamine and threonine(self); decarboxylation coupling (RCOOR') product of glutamine and threonine(self); decarboxylation C-N coupling product of threonine and glutamine(self), with the error of 0.0031.decarboxylation C-N coupling product of hydroxyproline and histamine(add Na+); decarboxylation C-N coupling product of leucine and cytosine(add Na+), with the error of 0.0041."
213.127926,0.05%,"decarboxylation coupling (R-R') product of malonic acid and tyrosine(add NH4+); decarboxylation C-N coupling product of pyruvic acid and dopamine(add NH4+); decarboxylation C-N coupling product of serine and dopamine(add H+), with the error of 0.0039. adduct of galactosamine with CH3 radical(add H3O+); adduct of glucosamine with CH3 radical(add H3O+), with the error of 0.0019.decarboxylation C-N coupling product of glycine and phenylalanine(add H3O+); decarboxylation C-N coupling product of phenylalanine and glycine(add H3O+); decarboxylation coupling (RCOOR') product of glycine and phenylalanine(add H3O+), with the error of 0.0001.serotonin add H2O(add H3O+), with the error of 0.0011."
132.098454,0.01%,"decarboxylation coupling (R-R') product of malonic acid and valine(add H+); decarboxylation coupling (R-R') product of 3-hydroxypropionic acid and hydroxyproline(add H+); decarboxylation coupling (R-R') product of 4-pentenoic acid and malonic acid(add NH4+); decarboxylation coupling (R-R') product of alpha-ketobutyric acid and threonine(add H+), with the error of 0.0035. adduct of betaine with CH3 radical(self); decarboxylation coupling (R-R') product of alpha-ketobutyric acid and alpha-ketobutyric acid(add NH4+); leucine(add H+); adduct of valine with CH3 radical(self), with the error of 0.0045."
132.102352,11.19%,"decarboxylation coupling (R-R') product of malonic acid and valine(add H+); decarboxylation coupling (R-R') product of 3-hydroxypropionic acid and hydroxyproline(add H+); decarboxylation coupling (R-R') product of 4-pentenoic acid and malonic acid(add NH4+); decarboxylation coupling (R-R') product of alpha-ketobutyric acid and threonine(add H+), with the error of 0.0004. adduct of betaine with CH3 radical(self); decarboxylation coupling (R-R') product of alpha-ketobutyric acid and alpha-ketobutyric acid(add NH4+); leucine(add H+); adduct of valine with CH3 radical(self), with the error of 0.0006.decarboxylation coupling (R-R') product of pyruvic acid and proline(add H3O+), with the error of 0.0036."
132.106898,0.01%,"decarboxylation coupling (R-R') product of malonic acid and valine(add H+); decarboxylation coupling (R-R') product of 3-hydroxypropionic acid and hydroxyproline(add H+); decarboxylation coupling (R-R') product of 4-pentenoic acid and malonic acid(add NH4+); decarboxylation coupling (R-R') product of alpha-ketobutyric acid and threonine(add H+), with the error of 0.0049. adduct of betaine with CH3 radical(self); decarboxylation coupling (R-R') product of alpha-ketobutyric acid and alpha-ketobutyric acid(add NH4+); leucine(add H+); adduct of valine with CH3 radical(self), with the error of 0.0039.decarboxylation coupling (R-R') product of pyruvic acid and proline(add H3O+), with the error of 0.0009.adduct of acetone with Cl radical(add K+), with the error of 0.0021."
131.09006,0.21%,"decarboxylation coupling (R-R') product of malonic acid and valine(self); decarboxylation coupling (R-R') product of 3-hydroxypropionic acid and hydroxyproline(self); decarboxylation coupling (R-R') product of alpha-ketobutyric acid and threonine(self), with the error of 0.0039. adduct of proline with CH3 radical(add H+); lysine de-NH2 product(add H+); leucine(self), with the error of 0.0049."
245.077384,0.47%,"decarboxylation coupling (R-R') product of methionine and n-acetyl cysteine(add Na+), with the error of 0.0024. uridine(add H+), with the error of 0.0006."
175.130331,0.00%,"decarboxylation coupling (R-R') product of methionine and proline(add H+), with the error of 0.0043. decarboxylation coupling (R-R') product of glutamine and threonine(self), with the error of 0.0007.decarboxylation C-N coupling product of lysine and glycine(self); decarboxylation coupling (RCOOR') product of lysine and glycine(self); decarboxylation C-N coupling product of glycine and lysine(self), with the error of 0.0017.decarboxylation coupling (R-R') product of 6-hydroxyoctanoic acid and malonic acid(add H+), with the error of 0.0027.adduct of 6-hydroxyoctanoic acid with CH3 radical(self), with the error of 0.0037.ornithine add CH3CO+ (from CH3CN) product(self); ornithine add CH3CO+ (from CH3CN) product(self); decarboxylation coupling (R-R') product of 4-pentenoic acid and phenylalanine(self), with the error of 0.0047."
275.162061,0.02%,"decarboxylation coupling (R-R') product of n-acetyl cysteine and n-acetyl cysteine(add K+), with the error of 0.0001. decarboxylation coupling (RCOOR') product of tryptophan and valine(self); decarboxylation C-N coupling product of valine and tryptophan(self); decarboxylation C-N coupling product of tryptophan and valine(self), with the error of 0.0009."
353.200125,0.01%,"decarboxylation coupling (R-R') product of n-acetyl neuraminic acid and proline(add H3O+), with the error of 0.0041. decarboxylation C-N coupling product of tryptophan and serotonin(add H3O+), with the error of 0.0019."
363.253525,0.03%,"decarboxylation coupling (R-R') product of n-acetyl neuraminic acid and serine(add K+); decarboxylation coupling (RCOOR') product of elaidic acid and malonic acid(add Na+); decarboxylation coupling (RCOOR') product of malonic acid and oleic acid(add Na+), with the error of 0.0025. "
202.216958,0.12%,"decarboxylation coupling (R-R') product of ornithine and cysteine(add K+), with the error of 0.005. decarboxylation coupling (R-R') product of lysine and lysine(self), with the error of 0.001.decarboxylation coupling (R-R') product of 6-hydroxyoctanoic acid and leucine(add H+), with the error of 0.0."
181.090249,0.26%,"decarboxylation coupling (R-R') product of ornithine and fumaric acid(add Na+); glucosamine de-NH2 product(add NH4+); decarboxylation coupling (R-R') product of alpha-ketobutyric acid and glutamine(add Na+); galactosamine de-NH2 product(add NH4+), with the error of 0.0048. "
372.169387,0.01%,"decarboxylation coupling (R-R') product of ornithine and glutathione(add Na+), with the error of 0.0014. decarboxylation coupling (R-R') product of 4-aminobenzoic acid and glutathione(add NH4+), with the error of 0.0016."
230.239666,0.15%,"decarboxylation coupling (R-R') product of ornithine and methionine(add K+), with the error of 0.0033. "
374.194044,0.01%,"decarboxylation coupling (R-R') product of ornithine and n-acetyl neuraminic acid(add Na+), with the error of 0.004. decarboxylation coupling (R-R') product of 4-aminobenzoic acid and n-acetyl neuraminic acid(add NH4+), with the error of 0.001."
174.185828,0.08%,"decarboxylation coupling (R-R') product of ornithine and ornithine(self); decarboxylation C-N coupling product of glycine and spermidine(self), with the error of 0.0018. "
175.110007,0.01%,"decarboxylation coupling (R-R') product of ornithine and oxaloacetic acid(add H+); decarboxylation coupling (RCOOR') product of lysine and glyoxylic acid(add H+); decarboxylation coupling (R-R') product of oxaloacetic acid and proline(add NH4+); decarboxylation coupling (RCOOR') product of pyruvic acid and proline(add NH4+); decarboxylation C-N coupling product of glyoxylic acid and lysine(add H+); decarboxylation coupling (R-R') product of fumaric acid and hydroxyproline(add NH4+); decarboxylation coupling (RCOOR') product of ornithine and pyruvic acid(add H+); reductive amination product of asparagine and acetone(add H+); decarboxylation coupling (RCOOR') product of proline and serine(add H+); decarboxylation C-N coupling product of proline and serine(add H+); decarboxylation C-N coupling product of pyruvic acid and ornithine(add H+), with the error of 0.002. "
343.28612,0.01%,"decarboxylation coupling (R-R') product of oxaloacetic acid and 12-hydroxystearic acid(add H+); decarboxylation coupling (RCOOR') product of pyruvic acid and 12-hydroxystearic acid(add H+), with the error of 0.0021. decarboxylation coupling (RCOOR') product of lysine and tryptophan(add K+); decarboxylation C-N coupling product of lysine and tryptophan(add K+); decarboxylation C-N coupling product of tryptophan and lysine(add K+), with the error of 0.0019.decarboxylation coupling (R-R') product of oxaloacetic acid and elaidic acid(add H3O+); decarboxylation coupling (RCOOR') product of pyruvic acid and oleic acid(add H3O+); decarboxylation coupling (RCOOR') product of pyruvic acid and elaidic acid(add H3O+); decarboxylation coupling (R-R') product of oxaloacetic acid and oleic acid(add H3O+), with the error of 0.0029."
143.070524,0.01%,"decarboxylation coupling (R-R') product of oxaloacetic acid and 4-pentenoic acid(add H+); adduct of cytosine with CH3O radical(add H+); decarboxylation coupling (RCOOR') product of pyruvic acid and 4-pentenoic acid(add H+), with the error of 0.0005. decarboxylation coupling (R-R') product of alpha-ketobutyric acid and itaconic acid(add H+), with the error of 0.0005."
165.05512,0.33%,"decarboxylation coupling (R-R') product of oxaloacetic acid and 4-pentenoic acid(add Na+); adduct of cytosine with CH3O radical(add Na+); adduct of adenine with NO radical(self); decarboxylation coupling (RCOOR') product of pyruvic acid and 4-pentenoic acid(add Na+), with the error of 0.0031. decarboxylation coupling (R-R') product of alpha-ketobutyric acid and itaconic acid(add Na+), with the error of 0.0021.decarboxylation C-N coupling product of oxaloacetic acid and urea(add H3O+); tyrosine de-NH2 product(self), with the error of 0.0001."
159.028149,0.53%,"decarboxylation coupling (R-R') product of oxaloacetic acid and fumaric acid(add H+); decarboxylation coupling (RCOOR') product of pyruvic acid and fumaric acid(add H+); ascorbic acid de-OH product(self); hypoxanthine(add Na+); decarboxylation coupling (RCOOR') product of glyoxylic acid and itaconic acid(add H+), with the error of 0.0009. adduct of o-phosphorylethanolamine with OH radical(add H+); 4-aminobenzoic acid -H +2Na product(self), with the error of 0.0019."
147.029046,0.19%,"decarboxylation coupling (R-R') product of oxaloacetic acid and malonic acid(add H+); decarboxylation coupling (RCOOR') product of pyruvic acid and malonic acid(add H+), with the error of 0.0. adduct of itaconic acid with OH radical(self); adduct of oxaloacetic acid with CH3 radical(self); adduct of fumaric acid with CH3O radical(self); alpha-ketoglutaric acid(add H+); itaconic acid add 1 oxygen(add H+), with the error of 0.001.decarboxylation coupling (R-R') product of glyoxylic acid and n-acetyl cysteine(self), with the error of 0.005."
169.011083,0.13%,"decarboxylation coupling (R-R') product of oxaloacetic acid and malonic acid(add Na+); decarboxylation coupling (RCOOR') product of pyruvic acid and malonic acid(add Na+), with the error of 0.0001. alpha-ketoglutaric acid(add Na+); itaconic acid add 1 oxygen(add Na+), with the error of 0.0009.decarboxylation C-N coupling product of glyoxylic acid and o-phosphorylethanolamine(self), with the error of 0.0019.adduct of fumaric acid with Cl radical(add NH4+), with the error of 0.0039."
230.161969,0.01%,"decarboxylation coupling (R-R') product of oxaloacetic acid and methionine(add K+); decarboxylation C-N coupling product of pyruvic acid and methionine(add K+); decarboxylation coupling (RCOOR') product of pyruvic acid and methionine(add K+), with the error of 0.003. decarboxylation coupling (R-R') product of ornithine and phenylalanine(add Na+), with the error of 0.001.decarboxylation coupling (R-R') product of glutamine and histidine(add H3O+); decarboxylation coupling (R-R') product of proline and tryptophan(add H+), with the error of 0.003.decarboxylation C-N coupling product of lysine and cytosine(add H3O+); decarboxylation C-N coupling product of glutamine and histamine(add H3O+); decarboxylation coupling (R-R') product of 4-aminobenzoic acid and phenylalanine(add NH4+), with the error of 0.004."
206.048395,0.17%,"decarboxylation coupling (R-R') product of oxaloacetic acid and n-acetyl cysteine(add H+); decarboxylation coupling (RCOOR') product of pyruvic acid and n-acetyl cysteine(add H+), with the error of 0.0004. decarboxylation C-N coupling product of itaconic acid and cysteine(add H+); decarboxylation coupling (RCOOR') product of cysteine and itaconic acid(add H+), with the error of 0.0006.decarboxylation C-N coupling product of glyoxylic acid and histidine(add Na+); decarboxylation coupling (RCOOR') product of glyoxylic acid and histidine(add Na+), with the error of 0.0046."
224.063546,0.01%,"decarboxylation coupling (R-R') product of oxaloacetic acid and n-acetyl cysteine(add H3O+); decarboxylation coupling (RCOOR') product of pyruvic acid and n-acetyl cysteine(add H3O+), with the error of 0.0005. decarboxylation coupling (RCOOR') product of cysteine and itaconic acid(add H3O+); decarboxylation C-N coupling product of itaconic acid and cysteine(add H3O+), with the error of 0.0005.adduct of ascorbic acid with NO radical(add NH4+); decarboxylation C-N coupling product of methionine and cysteine(self); decarboxylation C-N coupling product of cysteine and methionine(self); decarboxylation coupling (RCOOR') product of cysteine and methionine(self), with the error of 0.0015."
